SalesOrderID,OrderLine,CustomerID,MaterialID,PlantID,OrderDate,RequestedDeliveryDate,ActualDeliveryDate,Quantity,UnitPrice,GrossRevenue,DiscountPercent,DiscountAmount,NetRevenue,Currency,SalesChannel,OrderStatus,DeliveryStatus
SO000001,10,CUST0200,MAT0016,PL02,2026-05-30,2026-06-29,2026-07-02,1351,30.77,41570.27,10.0,4157.03,37413.24,USD,Retail,Completed,Late
SO000002,10,CUST0166,MAT0022,PL04,2025-08-13,2025-09-05,,1202,23.61,28379.22,10.0,2837.92,25541.3,CAD,Retail,In Process,Not Delivered
SO000003,10,CUST0174,MAT0073,PL03,2026-01-15,2026-01-28,2026-01-28,1243,39.91,49608.13,2.0,992.16,48615.97,CAD,Distributor,Completed,On Time
SO000004,10,CUST0075,MAT0116,PL02,2025-01-31,2025-02-18,2025-02-16,842,76.69,64572.98,0.0,0.0,64572.98,USD,Distributor,Completed,On Time
SO000005,10,CUST0104,MAT0109,PL02,2025-06-29,2025-07-18,,881,47.58,41917.98,2.0,838.36,41079.62,USD,E-Commerce,Backordered,Not Delivered
SO000006,10,CUST0124,MAT0103,PL03,2026-05-23,2026-06-10,2026-06-17,364,17.62,6413.68,2.0,128.27,6285.41,USD,E-Commerce,Completed,Late
SO000007,10,CUST0122,MAT0150,PL01,2025-09-01,2025-09-12,2025-09-18,100,7.62,762.0,5.0,38.1,723.9,USD,Distributor,Completed,Late
SO000008,10,CUST0009,MAT0141,PL04,2025-11-11,2025-11-30,2025-12-03,1309,51.69,67662.21,10.0,6766.22,60895.99,CAD,Direct Sales,Completed,Late
SO000009,10,CUST0064,MAT0124,PL01,2025-01-25,2025-02-01,2025-02-03,1462,41.96,61345.52,5.0,3067.28,58278.24,USD,Retail,Completed,Late
SO000010,10,CUST0048,MAT0075,PL02,2025-01-20,2025-02-06,,1097,36.55,40095.35,0.0,0.0,40095.35,USD,E-Commerce,Backordered,Not Delivered
SO000011,10,CUST0108,MAT0116,PL01,2025-12-27,2026-01-25,,1137,75.96,86366.52,0.0,0.0,86366.52,AUD,E-Commerce,In Process,Not Delivered
SO000012,10,CUST0093,MAT0112,PL03,2025-07-24,2025-08-15,2025-08-13,470,53.54,25163.8,2.0,503.28,24660.52,CAD,Retail,Completed,On Time
SO000013,10,CUST0197,MAT0022,PL01,2025-08-06,2025-08-20,,641,27.95,17915.95,0.0,0.0,17915.95,USD,Direct Sales,In Process,Not Delivered
SO000014,10,CUST0053,MAT0090,PL04,2025-07-23,2025-08-01,,332,47.23,15680.36,0.0,0.0,15680.36,USD,Distributor,Backordered,Not Delivered
SO000015,10,CUST0058,MAT0076,PL01,2026-05-28,2026-06-08,,810,30.54,24737.4,7.5,1855.31,22882.09,USD,Retail,Backordered,Not Delivered
SO000016,10,CUST0175,MAT0004,PL03,2025-12-19,2026-01-16,2026-01-14,612,21.84,13366.08,5.0,668.3,12697.78,CAD,Distributor,Completed,On Time
SO000017,10,CUST0050,MAT0007,PL04,2026-02-16,2026-02-19,2026-02-17,204,59.42,12121.68,0.0,0.0,12121.68,USD,E-Commerce,Completed,On Time
SO000018,10,CUST0178,MAT0029,PL02,2025-12-20,2026-01-02,,338,62.72,21199.36,10.0,2119.94,0.0,USD,E-Commerce,Cancelled,Not Delivered
SO000019,10,CUST0115,MAT0116,PL01,2026-06-17,2026-06-30,2026-07-01,609,77.47,47179.23,2.0,943.58,46235.65,AUD,Distributor,Completed,Late
SO000020,10,CUST0040,MAT0016,PL02,2025-12-22,2026-01-21,2026-01-21,45,27.65,1244.25,0.0,0.0,1244.25,USD,E-Commerce,Completed,On Time
SO000021,10,CUST0050,MAT0062,PL03,2026-03-09,2026-03-23,2026-03-25,642,51.41,33005.22,10.0,3300.52,29704.7,AUD,Direct Sales,Completed,Late
SO000022,10,CUST0183,MAT0090,PL04,2026-01-09,2026-01-20,2026-01-24,17,48.02,816.34,0.0,0.0,816.34,USD,Distributor,Completed,Late
SO000023,10,CUST0161,MAT0047,PL04,2026-01-20,2026-02-12,,1223,69.38,84851.74,2.0,1697.03,83154.71,USD,E-Commerce,Backordered,Not Delivered
SO000024,10,CUST0144,MAT0073,PL04,2025-07-28,2025-08-19,,133,37.88,5038.04,5.0,251.9,4786.14,CAD,Distributor,Backordered,Not Delivered
SO000025,10,CUST0194,MAT0050,PL03,2025-11-17,2025-11-25,,669,34.13,22832.97,0.0,0.0,0.0,USD,Distributor,Cancelled,Not Delivered
SO000026,10,CUST0016,MAT0037,PL03,2025-03-05,2025-03-29,,1364,30.8,42011.2,7.5,3150.84,38860.36,USD,Distributor,In Process,Not Delivered
SO000027,10,CUST0195,MAT0043,PL04,2026-01-03,2026-01-30,,1403,29.36,41192.08,5.0,2059.6,39132.48,AUD,E-Commerce,In Process,Not Delivered
SO000028,10,CUST0052,MAT0044,PL01,2026-04-05,2026-04-25,2026-05-02,456,26.9,12266.4,7.5,919.98,11346.42,AUD,Retail,Completed,Late
SO000029,10,CUST0099,MAT0142,PL04,2026-05-04,2026-05-17,,392,13.77,5397.84,7.5,404.84,0.0,USD,Retail,Cancelled,Not Delivered
SO000030,10,CUST0182,MAT0083,PL03,2025-09-29,2025-10-09,2025-10-09,1338,37.79,50563.02,0.0,0.0,50563.02,AUD,E-Commerce,Completed,On Time
SO000031,10,CUST0053,MAT0025,PL01,2025-05-24,2025-06-06,2025-06-09,924,40.55,37468.2,2.0,749.36,36718.84,USD,Direct Sales,Completed,Late
SO000032,10,CUST0136,MAT0125,PL04,2026-06-04,2026-06-08,2026-06-08,436,28.02,12216.72,5.0,610.84,11605.88,USD,Distributor,Completed,On Time
SO000033,10,CUST0152,MAT0111,PL04,2026-06-20,2026-06-29,2026-06-27,1468,14.95,21946.6,0.0,0.0,21946.6,CAD,Direct Sales,Completed,On Time
SO000034,10,CUST0021,MAT0093,PL03,2026-03-25,2026-04-07,2026-04-11,601,16.13,9694.13,0.0,0.0,9694.13,AUD,Distributor,Completed,Late
SO000035,10,CUST0193,MAT0150,PL01,2026-02-06,2026-02-12,2026-02-15,435,8.66,3767.1,0.0,0.0,3767.1,USD,Retail,Completed,Late
SO000036,10,CUST0080,MAT0041,PL03,2025-03-11,2025-04-05,2025-04-10,622,38.15,23729.3,0.0,0.0,23729.3,CAD,Direct Sales,Completed,Late
SO000037,10,CUST0039,MAT0120,PL04,2025-08-06,2025-08-28,,1015,27.6,28014.0,0.0,0.0,0.0,AUD,Distributor,Cancelled,Not Delivered
SO000038,10,CUST0189,MAT0044,PL03,2025-05-24,2025-06-05,2025-06-06,1105,30.07,33227.35,5.0,1661.37,31565.98,USD,E-Commerce,Completed,Late
SO000039,10,CUST0096,MAT0135,PL02,2025-07-10,2025-07-14,,310,42.23,13091.3,5.0,654.57,12436.73,USD,Distributor,Backordered,Not Delivered
SO000040,10,CUST0100,MAT0111,PL04,2025-11-05,2025-12-05,2025-12-08,499,13.03,6501.97,0.0,0.0,6501.97,USD,Distributor,Completed,Late
SO000041,10,CUST0186,MAT0019,PL01,2026-05-22,2026-06-17,,1464,26.99,39513.36,0.0,0.0,39513.36,USD,Retail,In Process,Not Delivered
